lon,lat,hit@1,hit@3,reciprocal_rank,category,predicted_categories
-81.47249965054999,41.03215823585,-1,-1,0.0,airport_hangar,"['storage_tank', 'factory_or_powerplant', 'oil_or_gas_facility', 'nuclear_powerplant', 'water_treatment_facility', 'shipyard', 'port', 'dam', 'car_dealership', 'ground_transportation_station']"
114.0252598,38.37088027825,-1,-1,0.0,toll_booth,"['hospital', 'educational_institution', 'multi-unit_residential', 'single-unit_residential', 'office_building', 'factory_or_powerplant', 'prison', 'port', 'shopping_mall', 'recreational_facility']"
-48.17688209989999,-21.2797584848,-1,-1,0.0,dam,"['space_facility', 'oil_or_gas_facility', 'gas_station', 'nuclear_powerplant', 'stadium', 'factory_or_powerplant', 'waste_disposal', 'airport_terminal', 'multi_unit_residential', 'amusement_park']"
3.78024406563,43.55396770455,-1,-1,0.25,recreational_facility,"['stadium', 'educational_institution', 'shopping_mall', 'recreational_facility', 'park', 'multi-unit_residential', 'construction_site', 'amusement_park', 'parking_lot_or_garage', 'single-unit_residential']"
-3.684943085855,42.34626977075,-1,-1,0.0,recreational_facility,0
-90.65954980515076,38.662671346534026,-1,-1,0.0,airport_hangar,"['port', 'shipyard', 'storage_tank', 'factory_or_powerplant', 'oil_or_gas_facility', 'parking_lot_or_garage', 'ground_transportation_station', 'military_facility', 'nuclear_powerplant', 'airport_terminal']"
-0.3190182545629747,39.312254487491344,-1,-1,0.0,crop_field,"['port', 'shipyard', 'dock', 'marina', 'wharf', 'fishing_port', 'container_terminal', 'waterfront', 'canal', 'boat_storage']"
-1.6100361,50.7847753282,-1,-1,0.1428571428571428,ground_transportation_station,"['airport_terminal', 'airport', 'multi-unit_residential', 'parking_lot_or_garage', 'office_building', 'shopping_mall', 'ground_transportation_station', 'interchange', 'park', 'educational_institution']"
-91.98513312146768,34.99029758221828,-1,-1,0.0,single-unit_residential,"['port', 'shipyard', 'airport', 'airport_terminal', 'airport_hangar', 'fishing_plant', 'navy_base', 'boat_ramp', 'marina', 'coastguard_station']"
24.0354576,56.92101337969999,-1,-1,0.0,multi-unit_residential,"['oil_or_gas_facility', 'factory_or_powerplant', 'shipyard', 'port', 'storage_tank', 'industrial_complex', 'waste_disposal', 'water_treatment_facility', 'debris_or_rubble', 'dam']"
39.2823702743,-6.837552301599999,-1,-1,0.0,storage_tank,"['surface_mine', 'construction_site', 'factory_or_powerplant', 'debris_or_rubble', 'oil_or_gas_facility', 'smokestack', 'waste_disposal', 'railway_bridge', 'dam', 'interchange']"
134.8316524,34.69821987900001,-1,-1,0.0,lighthouse,0
-70.61893265,-33.3945455794,-1,-1,0.2,recreational_facility,"['educational_institution', 'single-unit_residential', 'multi-unit_residential', 'park', 'recreational_facility', 'construction_site', 'office_building', 'place_of_worship', 'hospital', 'swimming_pool']"
24.6740944848,42.19354214975,-1,-1,0.0,electric_substation,"['factory_or_powerplant', 'oil_or_gas_facility', 'port', 'shipyard', 'railroad_bridge', 'military_facility', 'storage_tank', 'surface_mine', 'debris_or_rubble', 'dam']"
-0.8672702,41.6404422778,-1,-1,0.0,fountain,0
1.87268048392,49.57778577764999,-1,-1,0.0,recreational_facility,"['lake_or_pond', 'aquaculture', 'water_treatment_facility', 'flooded_road', 'zoo', 'park', 'amusement_park', 'swimming_pool', 'surface_mine', 'golf_course']"
73.39504456103272,61.27119658715272,-1,-1,0.0,car_dealership,"['shipyard', 'port', 'factory_or_powerplant', 'oil_or_gas_facility', 'railway_bridge', 'construction_site', 'parking_lot_or_garage', 'interchange', 'storage_tank', 'border_checkpoint']"
3.9319026006,43.5951010468,-1,-1,0.0,crop_field,0
-73.67537469141388,45.59976754901393,-1,-1,0.0,educational_institution,0
2.880606,36.55281697855,-1,-1,0.1666666666666666,military_facility,"['construction_site', 'surface_mine', 'debris_or_rubble', 'storage_tank', 'factory_or_powerplant', 'military_facility', 'border_checkpoint', 'warehouse', 'oil_or_gas_facility', 'electrical_substation']"
